Hotel_Id,Hotel,City,Link,Rating,Hotel_Type,Location,Cost_for_2
1,Alif Paradise Biriyani,Peelamedu,https://www.swiggy.com/restaurants/alif-paradise-biriyani-peelamedu-stv-nagar-coimbatore-322145,3.4,"Biryani, Indian","Peelamedu, Stv Nagar",200
2,Im Thirsty,Peelamedu,https://www.swiggy.com/restaurants/im-thirsty-peelamedu-coimbatore-128594,--,"Opens next at 11 am, tomorrowFast Food, Beverages","peelamedu, peelamedu",200
3,CREAMERY,Peelamedu,https://www.swiggy.com/restaurants/creamery-peelamedu-coimbatore-416949,4.6,"Continental, Italian","Peelamedu, Peelamedu",500
4,Keventers - Milkshakes and Desserts,Peelamedu,https://www.swiggy.com/restaurants/keventers-milkshakes-and-desserts-peelamedu-coimbatore-63466,4.4,"Beverages, Ice Cream","peelamedu, Peelamedu",300
5,Mr Grill,Peelamedu,https://www.swiggy.com/restaurants/mr-grill-peelamedu-coimbatore-409451,4.1,"Grill, Indian","Peelamedu, Peelamedu",250
6,Mumbai Kulfi,Peelamedu,https://www.swiggy.com/restaurants/mumbai-kulfi-avinashi-road-peelamedu-masakalipalayam-coimbatore-62259,4.3,"Desserts, Ice Cream","Avinashi Road,Peelamedu, Masakalipalayam",100
7,VIGNESH BHAVAN,Peelamedu,https://www.swiggy.com/restaurants/vignesh-bhavan-peelamedu-coimbatore-425787,3.4,"Opens next at 11 am, tomorrowSouth Indian","Peelamedu, Peelamedu",200
8,KRYPTAS,Peelamedu,https://www.swiggy.com/restaurants/kryptas-peelamedu-coimbatore-446086,--,"Opens next at 12:30 pm, tomorrowChinese, Biryani","Peelamedu, Peelamedu",300
9,Idly 2 Roti,Peelamedu,https://www.swiggy.com/restaurants/idly-2-roti-peelamedu-coimbatore-440377,4.2,"North Indian, Chinese","Peelamedu, Peelamedu",200
10,Burger Infusion,Peelamedu,https://www.swiggy.com/restaurants/burger-infusion-avinashi-road-peelamedu-west-coimbatore-121434,3.5,"Opens next at 10 am, tomorrowFast Food","Avinashi Road, Peelamedu West",200
11,Kovai Kitchen - Fairfield by Marriott Coimbatore,Peelamedu,https://www.swiggy.com/restaurants/kovai-kitchen-fairfield-by-marriott-coimbatore-airport-road-civil-aerodrome-post-coimbatore-298193,3.8,"Indian, Continental","Airport Road, Civil Aerodrome Post",649
12,KFC,Peelamedu,https://www.swiggy.com/restaurants/kfc-avinashi-rd-near-sri-ramakrishna-dental-college-odayamapalayam-coimbatore-50793,4.0,"American, Fast Food","Avinashi Rd, Near Sri Ramakrishna Dental College, Odayamapalayam",500
13,SRI AMMAN  MESS,Peelamedu,https://www.swiggy.com/restaurants/sri-amman-mess-peelamedu-coimbatore-305654,4.2,"Indian, Chinese","Peelamedu, Peelamedu",200
14,Ibaco,Peelamedu,https://www.swiggy.com/restaurants/ibaco-peelamedu-coimbatore-53545,4.5,Desserts,"Peelamedu, Peelamedu",250
15,MH Biriyani,Peelamedu,https://www.swiggy.com/restaurants/mh-biriyani-peelamedu-coimbatore-413286,--,"Biryani, Chinese","Peelamedu, Peelamedu",200
16,Domino's Pizza,Peelamedu,https://www.swiggy.com/restaurants/dominos-pizza-avinashi-road-peelamedu-coimbatore-50958,4.4,Pizzas,"Avinashi Road, Peelamedu",400
17,Shakir Biryani,Peelamedu,https://www.swiggy.com/restaurants/shakir-biryani-peelamedu-coimbatore-433798,--,"Biryani, Tandoor","Peelamedu, Peelamedu",250
18,Bowld,Peelamedu,https://www.swiggy.com/restaurants/bowld-peelamedu-coimbatore-318452,4.2,"South Indian, Combo","Peelamedu, Peelamedu",200
19,Kwality Walls Frozen Dessert and Ice Cream Shop,Peelamedu,https://www.swiggy.com/restaurants/kwality-walls-frozen-dessert-and-ice-cream-shop-peelamedu-coimbatore-397035,4.6,Restaurant ClosedIce Cream,"Peelamedu, Peelamedu",300
20,Eshwari Hotel,Peelamedu,https://www.swiggy.com/restaurants/eshwari-hotel-mill-road-pkd-nagar-coimbatore-118812,3.9,"North Indian, Chinese","Mill Road, Pkd Nagar",200
21,Kaarapetti,Peelamedu,https://www.swiggy.com/restaurants/kaarapetti-peelamedu-coimbatore-378216,3.8,"Opens next at 12 noon, tomorrowIndian, South Indian","Peelamedu, Peelamedu",300
22,BIRIYANI DAY,Peelamedu,https://www.swiggy.com/restaurants/biriyani-day-peelamedu-coimbatore-425313,--,"Opens next at 11 am, tomorrowSouth Indian, Biryani","Peelamedu, Peelamedu",200
23,Hotel Aryaas,Peelamedu,https://www.swiggy.com/restaurants/hotel-aryaas-opp-to-psg-engg-peelamedu-coimbatore-52502,4.0,"Indian, South Indian","Opp to PSG Engg, Peelamedu",250
24,Pizza 997 AD,Peelamedu,https://www.swiggy.com/restaurants/pizza-997-ad-thanneerpandal-main-road-peelamedu-coimbatore-413576,--,"Pizzas, Beverages","Thanneerpandal main Road, Peelamedu",350
25,Aligarh House Biryani,Peelamedu,https://www.swiggy.com/restaurants/aligarh-house-biryani-thanneerpandal-main-road-peelamedu-coimbatore-413577,4.1,"Biryani, Mughlai","Thanneerpandal main Road, Peelamedu",400
26,Burger Ka Baap,Peelamedu,https://www.swiggy.com/restaurants/burger-ka-baap-peelamedu-masakalipalayam-coimbatore-52500,4.3,"Fast Food, Beverages","Peelamedu, Masakalipalayam",500
27,Yumlane Pizza,Peelamedu,https://www.swiggy.com/restaurants/yumlane-pizza-thanneerpandal-main-road-peelamedu-coimbatore-413574,3.8,"Pizzas, Beverages","Thanneerpandal main Road, Peelamedu",300
28,Hotel Milagu Rasam,Peelamedu,https://www.swiggy.com/restaurants/hotel-milagu-rasam-peelamedu-pudur-coimbatore-158685,4.0,"Opens next at 12 noon, tomorrowSouth Indian","Peelamedu, Pudur",150
29,EatFit,Peelamedu,https://www.swiggy.com/restaurants/eatfit-thanneerpandal-main-road-peelamedu-coimbatore-413573,4.3,"Healthy Food, North Indian","Thanneerpandal main Road, Peelamedu",270
30,Fipola Grill House,Peelamedu,https://www.swiggy.com/restaurants/fipola-grill-house-peelamedu-coimbatore-404387,4.0,"Indian, Seafood","Peelamedu, Peelamedu",300
31,Hotel Penguin,Peelamedu,https://www.swiggy.com/restaurants/hotel-penguin-gandhima-nagar-gandhimaa-nagar-coimbatore-59264,4.2,"South Indian, Chinese","Gandhima Nagar, Gandhimaa Nagar",200
32,Juices and cafe,Peelamedu,https://www.swiggy.com/restaurants/juices-and-cafe-peelamedu-surya-garden-coimbatore-332204,--,"Opens next at 8 am, tomorrowBeverages, Juices","Peelamedu, Surya Garden",100
33,Mr Shake Cool Express,Peelamedu,https://www.swiggy.com/restaurants/mr-shake-cool-express-pellamedu-sri-ramakrishna-dental-college-and-hospital-coimbatore-75223,--,"Beverages, Healthy Food","Pellamedu, Sri Ramakrishna Dental College And Hospital",200
34,Momolicious,Peelamedu,https://www.swiggy.com/restaurants/momolicious-fun-mall-road-periyar-nagar-coimbatore-149477,4.0,"Chinese, Beverages","Fun mall Road, Periyar Nagar",200
35,Bai Biriyani,Peelamedu,https://www.swiggy.com/restaurants/bai-biriyani-peelamedu-coimbatore-444001,--,"Opens next at 1 pm, tomorrowBiryani","Peelamedu, Peelamedu",200
36,Ganapathy Mess,Peelamedu,https://www.swiggy.com/restaurants/ganapathy-mess-peelamedu-ad-colony-coimbatore-223524,4.2,"South Indian, Tandoor","Peelamedu, Ad Colony",200
37,Sandwich Square,Peelamedu,https://www.swiggy.com/restaurants/sandwich-square-hope-college-sitra-coimbatore-53561,--,"Opens next at 10 am, tomorrowFast Food","Hope College, Sitra",150
38,Hotel chola,Peelamedu,https://www.swiggy.com/restaurants/hotel-chola-ramanathapuram-peelamedu-coimbatore-317848,3.8,Indian,"Ramanathapuram, Peelamedu",200
39,Little Panda,Peelamedu,https://www.swiggy.com/restaurants/little-panda-peelamedu-periyar-nagar-coimbatore-230730,--,"Beverages, Chinese","Peelamedu, Periyar Nagar",250
40,Vee Vee Foods,Peelamedu,https://www.swiggy.com/restaurants/vee-vee-foods-peelamedu-coimbatore-389537,--,"Opens next at 7 am, tomorrowSouth Indian","Peelamedu, Peelamedu",280
41,Hidden Fork  Pizzeria,Peelamedu,https://www.swiggy.com/restaurants/hidden-fork-pizzeria-near-krishnammal-college-peelamedu-coimbatore-148898,3.8,Indian,"Near Krishnammal College, Peelamedu",250
42,Barbeque Nation,Peelamedu,https://www.swiggy.com/restaurants/barbeque-nation-fun-republic-mall-periyar-nagar-coimbatore-307773,3.7,"North Indian, Mughlai","Fun  Republic   Mall, Periyar Nagar",600
43,Dairy House,Peelamedu,https://www.swiggy.com/restaurants/dairy-house-peelamedu-chinna-ayyavu-thevar-layout-coimbatore-230733,--,"Opens next at 10:30 am, tomorrowIce Cream","Peelamedu, Chinna Ayyavu Thevar Layout",200
44,Rolling Dough Cafe,Peelamedu,https://www.swiggy.com/restaurants/rolling-dough-cafe-peelamedu-illango-nagar-coimbatore-112779,4.1,"South Indian, Biryani","Peelamedu, Illango Nagar",200
45,The Budapest Bake House,Peelamedu,https://www.swiggy.com/restaurants/the-budapest-bake-house-peelamedu-illango-nagar-coimbatore-112778,4.4,"Desserts, Continental","Peelamedu, Illango Nagar",200
46,Byte A Bit Shawarmaz,Peelamedu,https://www.swiggy.com/restaurants/byte-a-bit-shawarmaz-hopes-peelamedu-coimbatore-223916,4.4,Arabian,"Hopes, Peelamedu",150
47,Hotel Shree Lakshmi bhavan,Peelamedu,https://www.swiggy.com/restaurants/hotel-shree-lakshmi-bhavan-peelamedu-ganapathi-police-quarters-coimbatore-365062,--,"Opens next at 7 am, tomorrowIndian, Chinese","Peelamedu, Ganapathi Police Quarters",200
48,Red foodz - sweets & snacks,Peelamedu,https://www.swiggy.com/restaurants/red-foodz-sweets-and-snacks-peelamedu-peelamedu-west-coimbatore-376337,4.3,"Sweets, Snacks","Peelamedu, Peelamedu West",150
49,PM Biriyaani,Peelamedu,https://www.swiggy.com/restaurants/pm-biriyaani-peelamedu-coimbatore-406158,--,"Indian, Chinese","Peelamedu, Peelamedu",180
50,THE CAKE SPOT,Peelamedu,https://www.swiggy.com/restaurants/the-cake-spot-peelamedu-vinayagapuram-coimbatore-372538,--,"Bakery, Beverages","Peelamedu, Vinayagapuram",200
51,Arusuvai Family Restaurant,Peelamedu,https://www.swiggy.com/restaurants/arusuvai-family-restaurant-peelamedu-coimbatore-298534,--,"Biryani, Chinese","Peelamedu, Peelamedu",200
52,A1 Hyderabad Biriyani Hotel,Peelamedu,https://www.swiggy.com/restaurants/a1-hyderabad-biriyani-hotel-gandimanagar-maniakaram-palayam-coimbatore-117704,--,"Opens next at 11 am, tomorrowBiryani","Gandimanagar, Maniakaram Palayam",200
53,Artic Shakes,Peelamedu,https://www.swiggy.com/restaurants/artic-shakes-avinashi-road-masakalipalayam-coimbatore-61515,--,"Opens next at 11 am, tomorrowBeverages, Desserts","Avinashi road, Masakalipalayam",200
54,Keranadu Kitchen,Peelamedu,https://www.swiggy.com/restaurants/keranadu-kitchen-hopes-maheshwari-nagar-coimbatore-356229,--,"Kerala, Desserts","Hopes, Maheshwari Nagar",250
55,Karaikudi Annalakshmi,Peelamedu,https://www.swiggy.com/restaurants/karaikudi-annalakshmi-ganapathy-saibaba-colony-coimbatore-254995,--,"Opens next at 9 am, tomorrowJuices","Ganapathy, Saibaba Colony",100
56,English food bar - Jacket Potatoes,Peelamedu,https://www.swiggy.com/restaurants/english-food-bar-jacket-potatoes-peelamedu-periyar-nagar-coimbatore-141595,3.8,"Arabian, American","Peelamedu, Periyar Nagar",250
57,Zucca Pizzeria & Cafe,Peelamedu,https://www.swiggy.com/restaurants/zucca-pizzeria-and-cafe-near-krishnamal-college-peelamedu-coimbatore-53334,3.6,"Pizzas, Italian","Near Krishnamal College, Peelamedu",200
58,Aagna Veg,Peelamedu,https://www.swiggy.com/restaurants/aagna-veg-peelamedu-coimbatore-418920,4.5,Restaurant ClosedSouth Indian,"Peelamedu, Peelamedu",200
59,Hotel Junior Kuppanna,Peelamedu,https://www.swiggy.com/restaurants/hotel-junior-kuppanna-avinashi-road-peelamedu-coimbatore-52246,4.2,"Indian, Chinese","Avinashi Road, Peelamedu",500
60,Shree Aksshayam,Peelamedu,https://www.swiggy.com/restaurants/shree-aksshayam-peelamedu-papanaicker-palyam-coimbatore-53332,4.2,"South Indian, Chinese","Peelamedu, Papanaicker Palyam",200
61,Kebabq,Peelamedu,https://www.swiggy.com/restaurants/kebabq-peelamedu-masakalipalayam-coimbatore-55995,4.1,"Kebabs, Barbecue","Peelamedu, Masakalipalayam",250
62,Kootansooru Restaurant,Peelamedu,https://www.swiggy.com/restaurants/kootansooru-restaurant-peelamedu-sri-ramakrishna-dental-college-and-hospital-coimbatore-322804,4.2,"Biryani, South Indian","Peelamedu, Sri Ramakrishna Dental College And Hospital",300
63,The Cascade,Peelamedu,https://www.swiggy.com/restaurants/the-cascade-avinashi-road-peelamedu-west-coimbatore-53336,4.2,Chinese,"Avinashi Road, Peelamedu West",1000
64,Mom's Chicken,Peelamedu,https://www.swiggy.com/restaurants/moms-chicken-avinashi-rd-masakalipalayam-coimbatore-101136,--,"American, Fast Food","Avinashi Rd, Masakalipalayam",100
65,Hotel Arrunnachala,Peelamedu,https://www.swiggy.com/restaurants/hotel-arrunnachala-peelamedu-masakalipalayam-coimbatore-52248,4.4,"Indian, Chinese","Peelamedu, Masakalipalayam",350
66,NIC Natural Ice Creams,Peelamedu,https://www.swiggy.com/restaurants/nic-natural-ice-creams-lalbhatur-colony-lal-bahadhur-colony-coimbatore-306332,4.6,"Ice Cream, Desserts","LalBhatur Colony, Lal Bahadhur Colony",120
67,Gustovita,Peelamedu,https://www.swiggy.com/restaurants/gustovita-peelamedu-hudco-colony-coimbatore-191255,4.8,Ice Cream,"Peelamedu, Hudco Colony",200
68,AM Biriyani world,Peelamedu,https://www.swiggy.com/restaurants/am-biriyani-world-peelamedu-coimbatore-411174,--,"Opens next at 1 pm, tomorrowIndian, Biryani","Peelamedu, Peelamedu",250
69,Pavizham Restaurant,Peelamedu,https://www.swiggy.com/restaurants/pavizham-restaurant-nava-india-sri-nagar-coimbatore-91575,4.0,"South Indian, Chinese","Nava India, Sri Nagar",200
70,11 11 Vital Juicery,Peelamedu,https://www.swiggy.com/restaurants/11-11-vital-juicery-peelamedu-coimbatore-399923,--,"Opens next at 10 am, tomorrowBeverages","Peelamedu, Peelamedu",500
71,The Side Dish Company,Peelamedu,https://www.swiggy.com/restaurants/the-side-dish-company-peelamedu-coimbatore-245456,4.0,Fast Food,"Peelamedu, Peelamedu",200
72,UBQ by Barbeque Nation,Peelamedu,https://www.swiggy.com/restaurants/ubq-by-barbeque-nation-fun-mall-periyar-nagar-coimbatore-236585,3.8,"North Indian, Mughlai","Fun mall, Periyar Nagar",300
73,Subway,Peelamedu,https://www.swiggy.com/restaurants/subway-peelamedu-new-sidhapudur-coimbatore-123020,4.5,"Fast Food, Healthy Food","Peelamedu, New Sidhapudur",350
74,Radisson Blu,Peelamedu,https://www.swiggy.com/restaurants/radisson-blu-peelamedu-krishnarayapuram-coimbatore-292560,3.6,"Opens next at 10 am, tomorrowIndian, Chinese","Peelamedu, Krishnarayapuram",500
75,MURUGAN TIFFIN	HOUSE,Peelamedu,https://www.swiggy.com/restaurants/murugan-tiffin-house-peelamedu-gopal-nagar-coimbatore-298821,4.3,"South Indian, Fast Food","Peelamedu, Gopal Nagar",200
76,Only Biryani,Peelamedu,https://www.swiggy.com/restaurants/only-biryani-peelamedu-illango-nagar-coimbatore-127102,--,North Indian,"Peelamedu, Illango Nagar",200
77,Crazier Park,Peelamedu,https://www.swiggy.com/restaurants/crazier-park-peelamedu-sri-sivasakthi-nagar-coimbatore-158529,--,"Restaurant ClosedSnacks, Fast Food","Peelamedu, Sri Sivasakthi Nagar",200
78,KB Mess,Peelamedu,https://www.swiggy.com/restaurants/kb-mess-kollupalayam-peelamedu-coimbatore-404361,--,"South Indian, Indian","Kollupalayam, Peelamedu",200
79,RED BOWL,Peelamedu,https://www.swiggy.com/restaurants/red-bowl-peelamedu-maniakaram-coimbatore-308165,3.6,"Indian, Sweets","Peelamedu, Maniakaram",200
80,Neydhal - The Coast,Peelamedu,https://www.swiggy.com/restaurants/neydhal-the-coast-nava-india-peelamedu-coimbatore-60953,--,South Indian,"Nava India, Peelamedu",200
81,Chai Kings,Peelamedu,https://www.swiggy.com/restaurants/chai-kings-peelamedu-opposite-bank-of-maharashtra-coimbatore-294073,4.4,"Bakery, Beverages","Peelamedu, Opposite Bank Of Maharashtra",150
82,Addipoli Puttu's,Peelamedu,https://www.swiggy.com/restaurants/addipoli-puttus-peelamedu-coimbatore-438263,--,"South Indian, Kerala","Peelamedu, Peelamedu",140
83,Ragam Cake Shop,Peelamedu,https://www.swiggy.com/restaurants/ragam-cake-shop-peelamedu-sri-sivasakthi-nagar-coimbatore-57944,4.3,"Desserts, Fast Food","Peelamedu, Sri Sivasakthi Nagar",150
84,The Table,Peelamedu,https://www.swiggy.com/restaurants/the-table-inside-zucca-pizza-peelamedu-coimbatore-142331,--,"Opens next at 11 am, tomorrowDesserts","Inside Zucca pizza, Peelamedu",400
85,Hidden Fork,Peelamedu,https://www.swiggy.com/restaurants/hidden-fork-avinash-road-peelamedu-coimbatore-51722,4.2,"Fast Food, Desserts","Avinash Road, Peelamedu",400
86,The Sandwich Point,Peelamedu,https://www.swiggy.com/restaurants/the-sandwich-point-peelamedu-coimbatore-85452,3.8,Fast Food,"coimbatore, Peelamedu",200
87,Boomerang,Peelamedu,https://www.swiggy.com/restaurants/boomerang-avinashi-road-hudco-colony-coimbatore-55646,4.2,"Ice Cream, Desserts","Avinashi Road, Hudco Colony",200
88,Fakhri Fast Food,Peelamedu,https://www.swiggy.com/restaurants/fakhri-fast-food-peelamedu-lal-bahadhur-colony-coimbatore-85453,--,"Opens next at 12 noon, tomorrowNorth Indian, Snacks","Peelamedu, Lal Bahadhur Colony",200
89,Haribhavanam,Peelamedu,https://www.swiggy.com/restaurants/haribhavanam-peelamedu-peelamedu-west-coimbatore-51207,4.1,"South Indian, Chinese","Peelamedu, Peelamedu West",400
90,Caramel Bakes & Pastries,Peelamedu,https://www.swiggy.com/restaurants/caramel-bakes-and-pastries-peelamedu-coimbatore-85174,4.3,Bakery,"Peelamedu, Peelamedu",300
91,JN MESS,Peelamedu,https://www.swiggy.com/restaurants/jn-mess-peelamedu-masakalipalayam-coimbatore-257719,--,"Opens next at 7 am, tomorrowIndian","Peelamedu, Masakalipalayam",300
92,Sun catering Services,Peelamedu,https://www.swiggy.com/restaurants/sun-catering-services-peelamedu-coimbatore-398160,--,"Opens next at 11 am, tomorrowChinese, Indian","Peelamedu, Peelamedu",200
93,Kaapingo,Peelamedu,https://www.swiggy.com/restaurants/kaapingo-peelamedu-coimbatore-431352,--,"Beverages, Desserts","Peelamedu, Peelamedu",200
94,Suriya Sweets,Peelamedu,https://www.swiggy.com/restaurants/suriya-sweets-vk-road-peelamedu-coimbatore-62062,4.3,"Sweets, Snacks","VK Road, Peelamedu",200
95,Roll over icecreams & Cakes,Peelamedu,https://www.swiggy.com/restaurants/roll-over-icecreams-and-cakes-hopes-argus-nagar-coimbatore-109403,3.7,"Ice Cream, Desserts","Hopes, Argus Nagar",150
96,The Beeda Specialist,Peelamedu,https://www.swiggy.com/restaurants/the-beeda-specialist-bharathi-rd-krishnarayapuram-coimbatore-62064,--,"Opens next at 12:15 pm, tomorrowPaan","Bharathi Rd, Krishnarayapuram",100
97,Hotel Sri Madurai Meenakshi,Peelamedu,https://www.swiggy.com/restaurants/hotel-sri-madurai-meenakshi-vk-road-peelamedu-coimbatore-66268,4.3,"South Indian, North Indian","VK Road, Peelamedu",200
98,Hi Basket,Peelamedu,https://www.swiggy.com/restaurants/hi-basket-peelamedu-coimbatore-425993,--,"Beverages, Juices","Peelamedu, Peelamedu",300
99,The Bottle,Peelamedu,https://www.swiggy.com/restaurants/the-bottle-peelamedu-lal-bahadhur-colony-coimbatore-207751,--,"Opens next at 11 am, tomorrowBeverages, Continental","Peelamedu, Lal Bahadhur Colony",200
100,House Of Secrets,Peelamedu,https://www.swiggy.com/restaurants/house-of-secrets-peelamedu-coimbatore-429952,4.4,"Opens next at 11 am, tomorrowBeverages, Desserts","Peelamedu, Peelamedu",250
101,Rockstone ThickShakes,Peelamedu,https://www.swiggy.com/restaurants/rockstone-thickshakes-nava-india-signal-sri-ramakrishna-dental-college-and-hospital-coimbatore-113849,4.3,Beverages,"Nava India Signal, Sri Ramakrishna Dental College And Hospital",300
102,Ppr Fast Food,Peelamedu,https://www.swiggy.com/restaurants/ppr-fast-food-peelamedu-coimbatore-358029,--,"Street Food, Chinese","Peelamedu, Peelamedu",300
103,5 Shots Bistro cafe,Peelamedu,https://www.swiggy.com/restaurants/5-shots-bistro-cafe-peelamedu-coimbatore-448209,--,"Fast Food, Beverages","Peelamedu, Peelamedu",200
104,CHARMINAR BIRYANI,Peelamedu,https://www.swiggy.com/restaurants/charminar-biryani-peelamedu-coimbatore-420178,--,"Opens next at 11 am, tomorrowBiryani, Indian","Peelamedu, Peelamedu",300
105,Aasife Biriyani,Peelamedu,https://www.swiggy.com/restaurants/aasife-biriyani-peelamedu-goldwins-coimbatore-335011,4.2,"Biryani, South Indian","Peelamedu, Goldwins",400
106,Rockstone Icecream Factory,Peelamedu,https://www.swiggy.com/restaurants/rockstone-icecream-factory-nava-india-sri-ramakrishna-dental-college-and-hospital-coimbatore-55411,4.4,"Ice Cream, Desserts","Nava India, Sri Ramakrishna Dental College And Hospital",200
107,Burhani Sweets,Peelamedu,https://www.swiggy.com/restaurants/burhani-sweets-peelamedu-illango-nagar-coimbatore-136354,--,Sweets,"peelamedu, Illango Nagar",200
108,KCM FRIED CHICKEN,Peelamedu,https://www.swiggy.com/restaurants/kcm-fried-chicken-uppulipalayam-coimbatore-coimbatore-51976,3.6,"Fast Food, Desserts","Uppulipalayam, Coimbatore",300
109,Courtallam Border Rahmath Kadai,Peelamedu,https://www.swiggy.com/restaurants/courtallam-border-rahmath-kadai-coi-ganapathy-karuparampalayam-pirvu-coimbatore-132157,3.9,"Chettinad, South Indian","Coi_Ganapathy, Karuparampalayam Pirvu",150
110,12hrs Kitchen,Peelamedu,https://www.swiggy.com/restaurants/12hrs-kitchen-peelamedu-r-k-mills-c-colony-coimbatore-367154,3.9,"Biryani, Combo","Peelamedu, R K Mills C Colony",200
111,Mahi's Menu,Peelamedu,https://www.swiggy.com/restaurants/mahis-menu-sowri-palayam-peelamedu-coimbatore-433822,--,"Biryani, Arabian","Sowri Palayam, Peelamedu",200
112,Polar Bear,Peelamedu,https://www.swiggy.com/restaurants/polar-bear-peelamedu-bharathi-nagar-coimbatore-331833,4.5,Ice Cream,"Peelamedu, Bharathi Nagar",300
113,AB s-Absolute Barbecues,Peelamedu,https://www.swiggy.com/restaurants/ab-s-absolute-barbecues-peelamedu-coimbatore-385378,3.1,"North Indian, Chinese","Peelamedu, Peelamedu",500
114,KCM Family Restaurant,Peelamedu,https://www.swiggy.com/restaurants/kcm-family-restaurant-gv-residency-rajiv-gandhi-nagar-coimbatore-51981,4.0,"North Indian, Chinese","GV Residency, Rajiv Gandhi Nagar",500
115,The Belgian Waffle Co.,Peelamedu,https://www.swiggy.com/restaurants/the-belgian-waffle-co-peelamedu-coimbatore-82488,4.4,"Desserts, Beverages","Peelamedu, Peelamedu",200
116,Belly Boy,Peelamedu,https://www.swiggy.com/restaurants/belly-boy-peelamedu-sri-nagar-coimbatore-283664,--,"Indian, Chinese","Peelamedu, Sri Nagar",200
117,Boom Cafe,Peelamedu,https://www.swiggy.com/restaurants/boom-cafe-avinash-road-hudco-colony-coimbatore-51743,4.0,"Opens next at 11:30 am, tomorrowItalian, Continental","Avinash Road, Hudco Colony",300
118,GoParatha,Peelamedu,https://www.swiggy.com/restaurants/goparatha-lakshmi-mills-pn-palyam-peelamedu-coimbatore-90252,4.6,North Indian,"Lakshmi Mills, PN Palyam, Peelamedu",200
119,Beyond Thickshake,Peelamedu,https://www.swiggy.com/restaurants/beyond-thickshake-peelamedu-coimbatore-295747,4.0,"Opens next at 10 am, tomorrowBeverages, Desserts","Peelamedu, Peelamedu",199
120,Time to Eat,Peelamedu,https://www.swiggy.com/restaurants/time-to-eat-lakshmi-mill-near-airtel-office-saravanampatti-coimbatore-51907,--,"Opens next at 11 am, tomorrowFast Food","Lakshmi mill near airtel office, Saravanampatti",200
121,Big Fat burger,Peelamedu,https://www.swiggy.com/restaurants/big-fat-burger-peelamedu-coimbatore-407205,4.1,"Continental, Snacks","Peelamedu, Peelamedu",250
122,Hideout The cafe,Peelamedu,https://www.swiggy.com/restaurants/hideout-the-cafe-avinash-road-peelamedu-coimbatore-51909,3.9,"Pizzas, Italian","Avinash Road, Peelamedu",250
123,Just Bake,Peelamedu,https://www.swiggy.com/restaurants/just-bake-peelamedu-coimbatore-408933,4.6,"Bakery, Desserts","Peelamedu, Peelamedu",200
124,Dawn Coffee shop,Peelamedu,https://www.swiggy.com/restaurants/dawn-coffee-shop-peelamedu-coimbatore-398828,--,"Fast Food, Beverages","Peelamedu, Peelamedu",200
125,Aishwini catering Services,Peelamedu,https://www.swiggy.com/restaurants/aishwini-catering-services-peelamedu-coimbatore-409580,4.5,"Restaurant ClosedSouth Indian, Chinese","Peelamedu, Peelamedu",300
126,Zamorin Cafe,Peelamedu,https://www.swiggy.com/restaurants/zamorin-cafe-hopes-peelamedu-coimbatore-267737,--,"South Indian, Chinese","Hopes, Peelamedu",200
127,Foodie,Peelamedu,https://www.swiggy.com/restaurants/foodie-peelamedu-coimbatore-447659,--,Beverages,"Peelamedu, Peelamedu",200
128,SMS Hotels,Peelamedu,https://www.swiggy.com/restaurants/sms-hotels-avinashi-main-rd-new-sidhapudur-coimbatore-55430,4.0,"Indian, Seafood","Avinashi Main Rd, New Sidhapudur",300
129,Shahi Grill,Peelamedu,https://www.swiggy.com/restaurants/shahi-grill-peelamedu-masakalipalayam-coimbatore-141396,4.1,"Grill, Biryani","Peelamedu, Masakalipalayam",250
130,Grameen Kulfi,Peelamedu,https://www.swiggy.com/restaurants/grameen-kulfi-ram-plaza-18-lal-bahadhur-colony-coimbatore-359787,4.5,"Ice Cream, Desserts","Ram Plaza-18, Lal Bahadhur Colony",120
131,ADIs BBQ,Peelamedu,https://www.swiggy.com/restaurants/adis-bbq-peelamedu-coimbatore-386970,--,"Opens next at 6:15 pm, MondayIndian","Peelamedu, Peelamedu",200
132,La Mensa,Peelamedu,https://www.swiggy.com/restaurants/la-mensa-nava-india-sri-ramakrishna-dental-college-and-hospital-coimbatore-55433,3.8,"Italian, Pizzas","Nava India, Sri Ramakrishna Dental College And Hospital",200
133,Dindigul Venu Biriyani,Peelamedu,https://www.swiggy.com/restaurants/dindigul-venu-biriyani-peelamedu-coimbatore-385409,4.0,"Biryani, Chinese","Peelamedu, Peelamedu",300
134,THOZHA RESTAURANT,Peelamedu,https://www.swiggy.com/restaurants/thozha-restaurant-peelamedu-coimbatore-439127,--,"Chinese, Indian","Peelamedu, Peelamedu",200
135,Ammulus,Peelamedu,https://www.swiggy.com/restaurants/ammulus-avarampalayam-road-illango-nagar-coimbatore-219505,4.1,South Indian,"Avarampalayam Road, Illango Nagar",250
136,sparta's Hut,Hopes,https://www.swiggy.com/restaurants/spartas-hut-peelamedu-sri-sivasakthi-nagar-coimbatore-158688,--,"Restaurant ClosedFast Food, Beverages","Peelamedu, Sri Sivasakthi Nagar",250
137,Asiatique,Hopes,https://www.swiggy.com/restaurants/asiatique-hopes-poongothai-nagar-coimbatore-218553,--,"Opens next at 11 am, tomorrowChinese, Indian","Hopes, Poongothai Nagar",400
